variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0620007,0.0016082788316753444,0.004795755402089305,0.0013710814624682266,0.11618135853451926,0.04570911934286333,1.3842830312553973
ts0560004,0.0015906308647298819,0.006482211583363227,0.0021314443869428616,0.012057925667090217,0.019122256372503685,13.191579618633758
ts0660026,0.001586963563296552,0.003998978473634396,0.0012587986981879653,0.3937322003388395,0.1120841240926433,0.4030565856515767
ts0370002,0.0015865781230732026,0.004799012997845353,0.0014650864930981756,0.47721756670902166,0.08697509319329953,0.33246431685541905
ts0050019,0.001579998778456172,0.0054979698355276385,0.0016525859704053774,0.006031792672596358,0.011387046276471293,26.19451403948983
ts0380004,0.0015714498925141623,0.004231691608810137,0.001476300126801956,0.10281220880982633,0.03270368167490631,1.5284662305241419
ts0510005,0.0015556912295169867,0.0033408916361892804,0.0010858760301711188,0.2796401842439644,0.17137013870101606,0.5563189116481795
ts0250003,0.0015550517679146475,0.0038584616200976335,0.000936554335771031,0.0425320097416349,0.05782945681368839,3.6561916010105575
ts0160006,0.0015485391229928445,0.007014066082758591,0.002190355258993224,0.01759770224481152,0.033078401884584205,8.799666578342142
ts0160004,0.0015311855455908982,0.004717274473229172,0.0015709646541443684,0.027935938161795855,0.034217199616881154,5.4810600478951885
ts0530004,0.001525830827947404,0.0031978766690063942,0.0009269067862860802,0.21014716751376536,0.14571164871959102,0.726077275273033
ts007a0014,0.0015227789962376425,0.0037071157613707967,0.0009199106923370589,0.05982461880559085,0.02562382267652584,2.545405263986961
ts0020003,0.0015148436574927218,0.00329825032602582,0.001044309329581926,0.4448491687844134,0.13309486093244144,0.3405297264311307
ts0030013,0.0015092176758887887,0.0020966871087453945,0.000561937643193077,0.045005368487928854,0.029274730670226866,3.3534169957825912
ts0260004,0.001507956913635343,0.0034929839723605027,0.0012008448312172864,0.01959495976281237,0.031658682513547656,7.695636693764321
ts0370003,0.0015069012132904042,0.004617325492338731,0.0012882063583916053,0.3373946685726387,0.04434317952823824,0.4466286381066447
ts0620006,0.0015013525699980783,0.0025610551157117245,0.0006899217358386833,0.05488319567979671,0.02379159269595505,2.7355414556349307
ts0580009,0.0014937722078543505,0.0030864621254231873,0.0008767850456666356,0.01410722151630665,0.01562117154636633,10.588705976777122
ts0180003,0.0014930550909102395,0.0031840510650089637,0.000894891976273651,0.160251360652266,0.15453339962462556,0.9316957340225412
ts0380006,0.0014792561567602844,0.002287363861101621,0.0004960591158377146,0.06924768636171114,0.023149491779566385,2.1361813433498393
ts0290002,0.0014671302995348107,0.0044045288578478115,0.0012672826530849002,0.9163625635324014,0.10066634046649531,0.16010369235068986
ts0040006,0.0014494110906005438,0.0051720168656316234,0.0019409033031864377,0.019974380559085136,0.02875679817430387,7.2563506353206755
ts0150013,0.0014189227064346599,0.007267038036715648,0.002248750050072595,0.010452832486234645,0.022938973739179726,13.57452832333477
ts0210015,0.0014105641316363425,0.0028725154742639918,0.0007410044184582976,0.008346113934773402,0.011893993118082442,16.90084921749441
ts0540003,0.0014034695273048483,0.004675837599222202,0.001422920554795,0.33057555061414656,0.17747001836945836,0.4245533357495643
ts0580007,0.0013998072598239012,0.003005597049396746,0.0008696612339441857,0.017230548496399833,0.0189442389117814,8.12398549074847
ts0390004,0.0013964512374832752,0.0033678471793929243,0.0008595292538814081,0.031649163490046595,0.015624418259441967,4.412284823649282
ts0540012,0.0013915500736388225,0.003469139145394942,0.0011630241976605684,0.022780532613299452,0.0328637050900942,6.108505438658729
ts0650004,0.0013775262893995395,0.003576877197900563,0.001045044177847003,0.24742724481152056,0.11774455494897167,0.5567399380164783
ts0390009,0.0013757535630420047,0.002410986643390593,0.0008151425920622193,0.027291825497670473,0.015883060998914234,5.040899749118775
ts007a0004,0.0013717565285229529,0.002696650130053678,0.000788706491054514,0.05843018847945786,0.02504289486218661,2.3476845860341826
ts0290003,0.0013656063242147125,0.004506579460283919,0.0013601287741347346,0.08363743646759848,0.10066634046649531,1.6327692261870728
ts007a0015,0.0013562070419254903,0.004776886030497876,0.001374955792086899,0.051448443456162646,0.026776732985017787,2.6360506767927103
