OA,pca_cluster,ae_cluster,oac_supergroup
E00001078,1,1,4
E00001079,1,5,3
E00001081,1,1,4
E00001082,1,1,4
E00001083,1,1,4
E00001084,1,1,4
E00001085,1,1,4
E00001086,1,1,4
E00001087,1,1,4
E00001089,1,1,4
E00001090,1,5,4
E00001091,1,1,4
E00001092,0,6,5
E00001093,0,6,5
E00001094,0,0,5
E00001095,1,6,4
E00001096,3,2,3
E00001097,1,6,5
E00001098,0,0,5
E00001099,2,6,5
E00001100,2,6,5
E00001101,7,5,4
E00001102,7,5,4
E00001103,0,6,5
E00001104,1,1,4
E00001105,1,1,4
E00001106,7,1,3
E00001107,1,1,4
E00001108,0,0,5
E00001109,1,1,4
E00001110,1,1,4
E00001111,1,1,4
E00001112,1,1,4
E00001113,1,1,4
E00001114,7,6,3
E00001115,1,1,4
E00001116,1,5,4
E00001117,0,0,5
E00001118,1,1,4
E00001119,1,1,4
E00001120,5,6,5
E00001121,1,1,4
E00001122,1,6,5
E00001123,7,5,3
E00001124,0,0,5
E00001125,0,0,5
E00001126,1,1,4
E00001127,1,1,4
E00001128,1,1,5
E00001129,1,1,4
E00001130,1,1,4
E00001131,1,1,5
E00001132,1,6,4
E00001133,1,6,4
E00001134,2,6,5
E00001135,0,0,5
E00001136,1,6,4
E00001137,1,1,4
E00001138,1,1,5
E00001139,2,6,5
E00001140,3,6,4
E00001141,1,1,4
E00001142,1,1,4
E00001143,1,1,4
E00001144,2,6,3
E00001145,1,1,5
E00001146,0,0,5
E00001147,1,1,5
E00001148,1,1,4
E00001149,2,6,4
E00001150,0,0,5
E00001151,1,6,5
E00001152,0,0,5
E00001153,0,0,5
E00001154,1,1,5
E00001155,7,6,3
E00001156,7,5,3
E00001157,7,1,5
E00001158,1,1,4
E00001159,7,5,3
E00001160,7,5,4
E00001161,7,5,4
E00001162,7,5,3
E00001163,1,5,4
E00001164,7,5,3
E00001165,7,5,4
E00001166,7,5,3
E00001167,1,6,4
E00001168,1,1,4
E00001169,2,6,3
E00001170,7,5,3
E00001171,7,5,3
E00001172,1,6,5
E00001173,2,6,5
E00001174,7,5,3
E00001175,2,6,5
E00001176,7,5,3
E00001177,1,1,3
E00001178,1,1,4
E00001179,1,1,4
E00001180,7,5,3
E00001181,1,1,4
E00001182,2,6,5
E00001183,0,0,5
E00001184,7,5,3
E00001185,1,1,4
E00001186,0,0,5
E00001187,1,1,5
E00001188,7,5,3
E00001189,7,5,4
E00001191,1,1,4
E00001192,7,5,4
E00001193,1,6,5
E00001194,7,5,3
E00001195,0,6,5
E00001196,7,5,3
E00001197,1,1,5
E00001198,7,5,4
E00001199,7,5,3
E00001200,1,6,5
E00001201,2,6,5
E00001202,7,1,4
E00001203,7,5,3
E00001204,1,1,4
E00001205,1,1,4
E00001207,2,6,6
E00001208,0,0,5
E00001209,0,0,5
E00001210,2,6,5
E00001212,2,6,5
E00001213,0,0,5
E00001214,3,2,3
E00001215,0,3,5
E00001216,2,6,5
E00001217,2,6,6
E00001218,0,0,5
E00001219,2,6,6
E00001220,2,6,4
E00001221,0,0,5
E00001222,2,6,5
E00001223,2,6,5
E00001224,2,6,6
E00001226,0,0,5
E00001227,2,6,5
E00001228,2,6,5
E00001229,0,0,5
E00001230,2,6,6
E00001231,7,6,6
E00001232,7,6,3
E00001233,2,6,5
E00001234,2,6,6
E00001235,7,5,4
E00001236,2,6,5
E00001237,0,0,5
E00001238,2,6,5
E00001239,2,6,6
E00001240,2,6,6
E00001241,2,6,5
E00001242,2,6,4
E00001243,2,6,5
E00001244,0,0,5
E00001245,7,5,3
E00001246,7,2,6
E00001247,7,6,6
E00001248,7,5,3
E00001249,0,0,5
E00001250,2,6,6
E00001251,7,5,3
E00001252,7,5,3
E00001253,0,0,5
E00001254,0,0,5
E00001255,0,6,5
E00001256,1,1,4
E00001257,0,0,5
E00001258,1,1,4
E00001259,7,5,3
E00001261,2,6,5
E00001262,0,0,5
E00001265,2,6,4
E00001266,3,2,6
E00001267,2,6,5
E00001268,2,6,5
E00001269,2,6,4
E00001270,7,5,3
E00001271,0,0,5
E00001272,7,5,4
E00001273,1,1,4
E00001274,0,0,5
E00001275,1,1,4
E00001276,1,1,5
E00001277,1,1,4
E00001278,1,1,4
E00001279,7,5,3
E00001280,1,1,3
E00001281,7,5,4
E00001282,1,1,4
E00001283,2,6,4
E00001284,2,6,5
E00001285,1,1,5
E00001286,7,5,3
E00001288,1,6,4
E00001289,1,1,5
E00001290,1,1,4
E00001291,1,1,4
E00001292,1,6,5
E00001293,1,1,5
E00001294,7,5,4
E00001295,2,6,5
E00001296,0,0,5
E00001297,0,0,5
E00001298,0,0,5
E00001299,1,1,4
E00001300,0,0,5
E00001301,0,0,5
E00001302,2,6,5
E00001303,2,6,5
E00001304,7,6,3
E00001305,0,0,5
E00001306,7,5,3
E00001307,0,0,5
E00001308,2,6,5
E00001309,1,1,4
E00001310,7,5,3
E00001311,0,0,5
E00001312,0,0,5
E00001313,0,6,5
E00001314,1,6,5
E00001315,7,5,3
E00001316,7,6,4
E00001317,1,6,4
E00001318,7,5,3
E00001319,1,6,4
E00001320,0,0,5
E00001321,0,0,5
E00001322,7,5,3
E00001323,0,0,5
E00001324,2,6,5
E00001325,7,5,4
E00001326,0,0,5
E00001327,1,6,4
E00001328,1,6,4
E00001329,7,5,4
E00001330,0,0,5
E00001331,3,2,4
E00001333,7,6,5
E00001334,7,5,3
E00001335,7,1,4
E00001336,0,0,5
E00001337,2,6,5
E00001338,2,6,5
E00001339,0,0,5
E00001340,5,0,5
E00001341,0,0,5
E00001342,7,6,3
E00001343,2,6,5
E00001344,2,6,5
E00001345,0,0,5
E00001346,2,6,5
E00001347,0,0,5
E00001348,0,0,5
E00001349,2,6,5
E00001350,7,5,4
E00001351,3,5,3
E00001352,7,5,3
E00001353,2,6,6
